Date, Open,High, Low, Close, Volume
10-Jan-14,140.53,142.99,140.32,142.31,1.98B
13-Jan-14,143.52,146.24,143.44,146.24,3.50B
15-Jan-14,146.48,148.36,146.31,147.87,3.25B
16-Jan-14,148.35,148.49,147.08,147.13,2.27B
17-Jan-14,146.91,147.25,146.11,146.76,1.94B
20-Jan-14,146.47,147.9,146.46,147.72,1.86B
21-Jan-14,148.25,148.47,147.8,148.2,2.43B
22-Jan-14,147.92,149.12,147.62,149.12,2.47B
23-Jan-14,149.41,149.96,148.91,149.37,2.28B
24-Jan-14,148.67,148.73,147.45,147.45,1.74B
27-Jan-14,145.03,145.03,142.37,143.48,1.83B
28-Jan-14,143.3,144.63,142.61,144.13,1.80B
29-Jan-14,144.64,147.15,144.64,146.68,2.00B
30-Jan-14,145.24,146.86,144.46,146.86,1.85B
3-Feb-14,146.12,146.28,145.27,145.53,1.57B
4-Feb-14,143.75,144.72,143.27,144.12,1.61B
5-Feb-14,145.03,145.77,144.66,145.2,2.09B
6-Feb-14,145.41,146.54,145.37,146.54,2.39B
7-Feb-14,147.04,148.09,146.98,147.78,2.87B
10-Feb-14,148.45,149.05,147.31,147.31,2.77B
11-Feb-14,147.14,147.89,147.11,147.73,2.46B
12-Feb-14,148.24,148.77,148.05,148.69,2.57B
13-Feb-14,148.47,148.91,148.28,148.42,1.93B
14-Feb-14,148.83,149.1,148.45,148.88,1.93B
17-Feb-14,149.37,150.66,149.36,150.46,3.13B
18-Feb-14,150.59,150.93,150.08,150.44,2.59B
19-Feb-14,150.56,151.82,150.55,151.82,2.51B
20-Feb-14,151.46,151.6,150.73,151.59,2.36B
21-Feb-14,152.1,153.09,152.07,152.92,2.50B
24-Feb-14,153,153.32,151.92,152.01,1.96B
25-Feb-14,152.2,152.75,150.29,150.61,2.19B
26-Feb-14,149.99,150.47,148.83,148.99,2.55B
27-Feb-14,149.12,150.87,148.99,150.45,2.31B
28-Feb-14,150.91,152.88,150.91,152.88,2.33B
3-Mar-14,151.63,151.72,150.94,151.41,1.86B
4-Mar-14,151.28,151.85,150.78,151.8,2.27B
5-Mar-14,152.47,153.76,152.44,153.71,2.66B
6-Mar-14,153.94,154.64,153.69,154.64,3.36B
7-Mar-14,155.1,155.57,154.72,154.97,3.28B
9-Mar-14,154.97,154.97,154.97,154.97,0
10-Mar-14,154.15,155.37,153.77,154.99,2.65B
11-Mar-14,154.84,155.81,154.79,155.81,3.96B
12-Mar-14,154.95,155.78,154.42,155.37,4.06B
13-Mar-14,155.69,156.82,155.52,156.67,3.02B
14-Mar-14,155.63,160.47,154.74,160.47,3.50B
17-Mar-14,161.04,162.2,160.23,160.99,4.87B
18-Mar-14,161.07,161.93,158.43,158.55,3.54B
19-Mar-14,158.97,159.98,158.96,159.43,2.92B
20-Mar-14,158.95,158.97,155.11,155.34,3.09B
21-Mar-14,155.78,156.75,154.17,155.88,2.68B
24-Mar-14,156.14,156.7,155.41,156.36,1.87B
25-Mar-14,155.7,156.02,155.21,155.47,2.00B
26-Mar-14,155.52,156.88,155.5,156.33,2.00B
27-Mar-14,155.95,157.07,155.8,155.98,2.15B
28-Mar-14,156.29,157.39,156.28,157.35,2.33B
1-Apr-14,158.18,160.56,158.07,160.56,3.20B
2-Apr-14,160.8,161.39,159.63,160.06,2.95B
3-Apr-14,160.36,160.96,160.28,160.68,2.39B
4-Apr-14,160.75,161,159.28,159.82,2.28B
7-Apr-14,159.76,162.55,159.67,162.33,2.79B
8-Apr-14,162.19,162.72,161.52,162.09,2.69B
9-Apr-14,162.19,162.72,161.52,162.09,0
10-Apr-14,159.77,159.77,155.99,157.09,4.90B
11-Apr-14,155.96,159.01,155.53,159.01,2.88B
14-Apr-14,158.93,161.04,158.93,160.68,2.75B
15-Apr-14,161.09,161.71,160.73,161.04,2.63B
16-Apr-14,161.54,161.83,160.65,160.65,2.28B
17-Apr-14,161.48,161.8,161.16,161.59,1.94B
21-Apr-14,162.15,162.3,161.28,161.44,1.57B
22-Apr-14,161.54,161.7,160.1,161.62,2.06B
23-Apr-14,161.6,162.21,161.13,161.49,2.45B
24-Apr-14,161.39,162.24,160.82,161.29,2.36B
25-Apr-14,161.57,162.2,161.41,161.58,2.41B
28-Apr-14,161.25,161.56,158.81,158.87,1.94B
29-Apr-14,158.19,158.56,157.75,158.31,1.94B
30-Apr-14,158.87,159.19,158.5,158.83,2.23B
2-May-14,158.59,159.15,158.45,158.5,2.05B
5-May-14,158.67,159.4,158.58,158.85,1.72B
6-May-14,159.09,159.4,158.42,158.68,1.63B
7-May-14,158.72,160.05,158.57,159.51,2.08B
8-May-14,159.97,160.39,159.13,159.79,2.11B
9-May-14,159.88,160.99,159.82,160.99,2.57B
12-May-14,161.33,162.47,161.33,161.91,2.57B
13-May-14,162.6,163,161.45,162.01,2.19B
14-May-14,162.58,164.14,162.58,164.14,2.77B
16-May-14,163.89,165.33,163.7,165.33,2.49B
19-May-14,165.87,167.33,163.01,164.37,3.14B
20-May-14,164.2,164.23,159.43,160.57,2.87B
21-May-14,160.24,161.47,159.64,161.36,1.91B
22-May-14,162,163.3,161.81,163.1,2.42B
23-May-14,163.29,163.58,162.78,163.19,1.88B
25-May-14,163.19,163.19,163.19,163.19,0
26-May-14,163.6,163.61,162.93,162.98,1.60B
28-May-14,162.93,163.81,162.83,163.78,1.86B
30-May-14,164.19,164.22,161.08,161.08,2.78B
2-Jun-14,160.87,161.3,159.89,161.3,2.03B
3-Jun-14,161.62,162.07,160.72,162.07,2.06B
4-Jun-14,161.86,162.52,161.59,162,1.74B
5-Jun-14,162.08,162.41,161.63,162.41,1.71B
6-Jun-14,162.51,163.5,162.32,162.84,1.73B
9-Jun-14,163.15,163.24,160.51,160.86,2.20B
10-Jun-14,161.13,162.72,161.13,162.72,1.67B
11-Jun-14,162.86,163.68,162.69,163.68,1.97B
12-Jun-14,163.31,163.4,161.98,162.38,1.90B
13-Jun-14,162.12,162.31,161.82,162.11,1.65B
16-Jun-14,162,162.22,160.35,160.35,1.98B
17-Jun-14,160.51,161.19,160.21,161.19,1.86B
18-Jun-14,161.17,161.18,160.31,160.44,1.97B
19-Jun-14,160.77,160.94,159.32,159.51,2.02B
20-Jun-14,159.73,159.97,159.04,159.11,1.71B
23-Jun-14,159.33,159.74,158.84,159.05,2.00B
24-Jun-14,159.28,160.02,159.15,159.6,2.22B
25-Jun-14,159.57,159.97,158.75,158.91,2.24B
26-Jun-14,158.91,159.92,158.91,159.92,2.31B
27-Jun-14,159.82,159.94,158.59,159.05,2.21B
30-Jun-14,159.17,160.16,159.09,159.75,2.49B
1-Jul-14,159.86,160.08,159.25,159.88,2.35B
2-Jul-14,159.93,161.02,159.87,161.02,1.91B
3-Jul-14,160.94,161.08,160.46,160.75,2.15B
4-Jul-14,160.52,161.53,160.52,161.2,3.01B
7-Jul-14,161.58,164.37,161.49,164.37,4.29B
8-Jul-14,164.94,165.86,164.79,165.04,4.59B
9-Jul-14,165.04,165.04,165.04,165.04,0
10-Jul-14,167.04,169.08,166.27,167.22,5.86B
11-Jul-14,166.37,166.58,163.66,164.7,2.67B
12-Jul-14,164.7,164.7,164.7,164.7,0
14-Jul-14,164.95,165.42,163.63,164.5,2.26B
15-Jul-14,164.94,166.27,164.94,166.27,2.71B
16-Jul-14,166.29,168.51,166.29,167.81,4.14B
17-Jul-14,168.28,168.66,164.99,165.97,3.12B
18-Jul-14,165.25,167.33,165,166.68,2.46B
20-Jul-14,166.68,166.68,166.68,166.68,0
21-Jul-14,167.43,168.68,167.43,168.54,3.77B
